lat,lon,historic,Name
41.9936737,21.433319,monument,Pitu Guli
42.0032812,21.4233737,monument,Goce Delchev
42.0008716,21.4338778,city_gate,Vlez na Skopskoto kale
42.0195738,20.960153,ruins,Tetovsko Kale
41.4325212,22.0228463,monument,Kosturnica
41.1155576,20.7914836,archaeological_site,Lihnid
41.3377228,21.257898,monument,Mechkin Kamen
41.3880768,21.2273776,monument,Sliva
41.9188903,22.4069917,monument,Spomenik na slobodata
42.2916094,22.3507979,monument,WWII Battle - 17th Macedonian Brigade vs Bulgarian army
41.1776616,20.679835,monument,Spomenik na Revolucijata
41.9959035,21.4314474,monument,Spomenik na Aleksandar Makedonski
42.0586697,21.3527926,archaeological_site,Rimska crkva
42.0843452,21.3548716,archaeological_site,Davina Kula
42.0587494,21.2786993,archaeological_site,Golema Kula - Kuchkovo
42.0585741,21.2844339,archaeological_site,Mala Kula - Kuchkovo
42.1355189,21.7200501,monument,Zena
42.0766913,21.398848,archaeological_site,Gradiste kaj s.Brazda
41.9505936,21.2991931,monument,Manastir Sv. Andrej
42.0017233,21.4617772,monument,Filip Vtori
41.9984602,21.4349949,memorial,Filip II Makedonski
41.9983057,21.4254968,memorial,Sv. Kliment Ohridski
41.9993163,21.437162,memorial,Skenderbeg
40.8570205,21.1195933,monument,Markova Noga
42.1706665,21.809838,archaeological_site,Kostoperska Karpa
42.2633818,21.953118,archaeological_site,Kokino
42.1355778,21.7194275,monument,Josip Broz - Tito
41.4094203,22.2541295,ruins,Markov Grad
42.2782511,21.8500367,memorial,Memorijalen centar ASNOM
41.794932,20.9108574,monument,Sahat Kula
42.1068795,21.1545235,ruins,Orashko Kale
41.5119269,20.9702432,monument,Saat kula
41.7140782,21.7840512,monument,Saat kula
41.2775784,22.4937679,archaeological_site,Isar / Idomenae
42.1346962,21.7192303,monument,Kude sat
41.3451182,21.5519842,monument,Naroden Heroj Kuzman Josifoski-Pitu
41.3451518,21.554267,monument,Pece Atanasoski
41.3452617,21.5522173,monument,Gjorche Petrov
41.3748344,21.2480535,tomb,Pitu Guli
41.3748686,21.2482546,tomb,Toshe Proeski
41.3736665,21.2463296,monument,Nikola Karev
41.024615,21.3368929,memorial,Stefan Naumov-Stiv
41.3649692,21.2497316,monument,Spomenik na Pitu Guli
41.3653856,21.2484409,monument,Naum Naumoski-Borche
41.5516379,21.9751675,ruins,Rimski teatar
41.1458586,22.5001795,monument,Dva Konja
42.0836218,21.9862589,archaeological_site,Cocev Kamen
40.9765203,20.9119981,monument,Prespansko Sovetuvanje
41.3475544,21.5564074,monument,Karpalak
42.1491368,21.7853235,memorial,Zebrnjak
41.1126936,20.7995376,monument,Sveti Kliment Ohridski
41.1120476,20.799994,monument,Sveti Kiril i Metodij
41.1122955,20.7990226,monument,Sveti Naum Ohridski Chudotvorec
41.1124606,20.7977703,city_gate,Dolna Porta
42.0853984,21.9627449,archaeological_site,Machka kamen
41.4182291,21.0770931,monument,Hristo Uzunov
41.0596796,20.8135106,wayside_shrine,Sv. Nikola
41.9062629,20.9636151,monument,Spomenik na zhrtvi od NOV
41.3460556,21.5524989,monument,Aleksandar Makedonski
41.3462544,21.5528281,monument,Metodija Andonov-Chento
41.3462194,21.553243,monument,Sv. Nikola
41.822914,21.7360635,memorial,Masakr kaj Pusta Kula
41.3434323,21.5479723,monument,Karpalak 2001
41.3341123,21.554646,monument,Kripta
41.345456,21.5548417,monument,Itar Pejo
41.975162,22.8187714,monument,Dedo Jakim - Mill
41.9769054,22.8193451,monument,Ilin Kamen
41.9668611,22.7768724,monument,Goce Delchev (Bista)
41.9643843,22.7742882,monument,Goce Delchev
41.9653801,22.7716387,monument,Spomenik na padnati borci vo NOB
41.9425359,22.7954411,monument,Kula
41.9952169,21.426153,memorial,Josip Broz Tito
41.9682709,21.4313461,ruins,Markovi Kuli
41.139367,22.5093733,monument,Leonid Jankov
41.9977079,21.4339766,memorial,Sv. Kiril i Metodij
41.9975624,21.4341509,memorial,Sv. Kliment Ohridski i Naum Ohridski Chudotvorec
41.9953917,21.4313414,memorial,Car Samoil
41.9964949,21.4321474,memorial,Dame Gruev
41.9968799,21.4323054,memorial,Justinijan I
41.9979046,21.4344182,memorial,Olimpija
41.993303,21.4337226,monument,Prometej
41.9834333,21.439106,monument,Todor Aleksandrov
41.986749,21.4369668,monument,Stara Rampa
41.9936684,21.4317487,monument,Begova kula
41.4166941,22.7549207,monument,Goce Delchev
41.3661079,21.6749495,memorial,Borka Taleski-Modernoto / Lazo Filipovski-Lavski
40.9142149,20.7412554,memorial,Sveti Naum
41.736405,22.1903758,monument,Spomenik na zaginatite evrei
42.000853,21.4375046,monument,Mustafa-pashina dzhamija
41.9130467,21.4333848,castle,Vila Varvarka
41.9949279,21.4108745,monument,Spomenik na Jurij Gagarin
41.9930188,21.4332009,monument,Nikola Karev
42.0016804,21.4283664,monument,Vera Jocikj
41.3455416,21.5532375,monument,Marko Mrnjavchevikj
41.3450704,21.5505634,monument,Krume Kepeski
41.3451329,21.5506707,monument,Blazhe Koneski
41.3451792,21.5505581,monument,Marko Cepenkov
41.5130946,20.9663459,castle,Kitino Kale
41.2788101,20.7836677,memorial,Botun
41.158263,22.5006786,monument,Spomenik na slobodata
41.3738524,21.5025867,monument,Borecot
41.1736526,20.6783749,monument,Sergej Esenin
42.0769461,22.1823517,monument,Emin-begova kula
42.0768838,22.1826261,monument,Krsteva kula
41.1949939,22.6878453,monument,Spomenik „Solunski front“ od I svetska vojna
42.0768628,22.1822635,monument,Hadzhikostova kula
42.0792053,22.1818109,monument,Saat-kula
42.0788289,22.1809805,monument,Zlatkovicheva kula
42.0786957,22.1794714,monument,Simikjeva kula
41.4409796,22.6796979,monument,Strumica-Kristal-64
41.1142035,20.7958058,tomb,Grigor Prlichev
40.8878546,20.9724068,monument,Monument Kulture
41.006774,21.3415263,yes,Sv. Troica
41.1755185,20.6781791,memorial,Jovo Stefanovski - Rile
41.05924,20.8033957,wayside_shrine,Sv. Blagoveshtenie
41.9963577,21.4323793,memorial,Goce Delchev
42.1003011,21.9665342,archaeological_site,Konjuh
42.0949995,21.9658672,ruins,Rotonda Konjuh
42.0995746,21.9606298,wayside_shrine,Bosko Chapel
41.7995125,22.289829,archaeological_site,Bargala
41.3825161,22.7542141,archaeological_site,Roman Bathhouse
42.0169571,21.4434502,monument,Doma
41.9952759,21.4319995,memorial,Spomen plocha na Majka Tereza
41.1057278,20.8078335,memorial,Ard den Dolard
41.958616,21.4422187,castle,Rezidencijata Glavinov
41.9957136,21.4306041,memorial,Metodija Andonov - Chento
41.9974433,20.9681527,monument,Terminal mitnitsa tetovo
41.9885405,21.2926787,monument,Patarina-160
41.8289715,21.9562049,monument,Kanda - Geoglif Sv. Nikole
41.7213441,22.6569551,memorial,Spomenik na Maleshevskiot (Maleshki) narodnoosloboditelen odred
41.0043725,20.9282003,archaeological_site,Kale
41.9856377,22.5905605,archaeological_site,Kalata
41.6952366,21.628172,archaeological_site,Banjichko Kale
41.3747079,20.7630424,monument,Mire Acev Bataljon
41.1120953,20.795694,memorial,Kosta Abrash
41.1124032,20.8071328,memorial,Henry Dunant
41.2754595,21.3684104,monument,Ljube Grujoski
41.1857198,22.7227512,monument,Spomenik na Dojrana
41.1825947,22.7233826,monument,Cheshma Sveta Petka
41.3724643,21.5605466,memorial,Dabnichki masakr
41.2064953,21.6536957,monument,Tole Pasha
42.022416,21.5476216,memorial,Aco Angelovski
42.0225556,21.5480468,memorial,Kiril Petrushevski
42.0227044,21.5486015,memorial,Erol Gotak
41.9764851,21.1660504,memorial,Nane Naumoski
41.977847,21.1773385,memorial,Sasho Kitanoski
41.97753,21.1679024,memorial,Branko Sekuloski
41.9781971,21.1745241,memorial,Goran Minoski
41.977893,21.1713626,memorial,Marko Despotoski
41.9767167,21.1675604,memorial,Erdovan Shabanoski
41.9772958,21.1694976,memorial,Ljube Grujoski
41.9770406,21.1717935,memorial,Darko Veljanoski
41.9767893,21.1747438,memorial,Vebi Rushitoski
41.977042,21.1770879,memorial,Pece Sekuloski
41.3575814,21.6256855,memorial,Karpalak
41.4014262,22.0284286,memorial,Masakr vo Vatasha
41.3428704,21.5583071,tomb,Pere Toshev
41.4436592,20.8721449,memorial,Duko Tasev
41.4831122,20.9229426,monument,Goce Delchev
41.483575,20.9222623,monument,Hristo Uzunov
41.1150206,20.7949057,city_gate,Gorna Porta
41.4528994,20.9658462,battlefield,Bitkata na Gjurgjejca
41.8646892,21.942062,monument,Spomenik Sv. Nikola
41.8644645,21.9410121,monument,Spomenik „Lazar Kolishevski“
41.8627557,21.9386585,memorial,Sv. Ilija
41.9156602,22.412778,monument,Spomenik na Nikola Karev
