Lat,Lon,Historic,Name,Address,Region,PhotoURL
41.9936737,21.433319,monument,Pitu Guli,11-ti Oktomvri 1111 Skopje North Macedonia,Skopje,https://mk.wikipedia.org/wiki/%D0%A1%D0%BF%D0%BE%D0%BC%D0%B5%D0%BD%D0%B8%D0%BA_%D0%BD%D0%B0_%D0%9F%D0%B8%D1%82%D1%83_%D0%93%D1%83%D0%BB%D0%B8_%28%D0%A1%D0%BA%D0%BE%D0%BF%D1%98%D0%B5%29#/media/%D0%9F%D0%BE%D0%B4%D0%B0%D1%82%D0%BE%D1%82%D0%B5%D0%BA%D0%B0:PituGuliSkopje9.JPG
42.0032812,21.4233737,monument,Goce Delchev,Naum Naumovski Borche 1111 Skopje North Macedonia,Skopje,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Spomenik_na_Goce_Del%C4%8Dev_park_%2811%29.JPG/2736px-Spomenik_na_Goce_Del%C4%8Dev_park_%2811%29.JPG
42.0008716,21.4338778,city_gate,Vlez na Skopskoto kale,Sv. Prohor Pchinski 1111 Skopje North Macedonia,Skopje,https://tourguide.com.mk/wp-content/uploads/%D0%BA1.jpg
42.0195738,20.960153,ruins,Tetovsko Kale,Vukasin Simovski 1200 Tetovo North Macedonia,Tetovo,https://upload.wikimedia.org/wikipedia/commons/d/dc/%D0%A2%D0%B5%D1%82%D0%BE%D0%B2%D1%81%D0%BA%D0%BE_%D0%9A%D0%B0%D0%BB%D0%B5_%2853%29.JPG
41.4325212,22.0228463,monument,Kosturnica,Disanska 1430 Kavadarci North Macedonia,Kavadarci,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/The_ossuary_monument_in_Kavadarci.jpg/1280px-The_ossuary_monument_in_Kavadarci.jpg
41.1155576,20.7914836,archaeological_site,Lihnid,Kuzman Kapidan 6000 Ohrid North Macedonia,Ohrid,https://mk.wikipedia.org/wiki/%D0%9B%D0%B8%D1%85%D0%BD%D0%B8%D0%B4#/media/%D0%9F%D0%BE%D0%B4%D0%B0%D1%82%D0%BE%D1%82%D0%B5%D0%BA%D0%B0:Ohrid_amphitheatre.jpg
41.3377228,21.257898,monument,Mechkin Kamen,Unnamed road Krushevo North Macedonia,Krushevo,https://mymacedoniablog.files.wordpress.com/2019/03/176-krusevo-meckin-kamen.jpg
41.3880768,21.2273776,monument,Sliva,Unnamed road Krushevo North Macedonia,Krushevo,https://upload.wikimedia.org/wikipedia/commons/d/dc/Sliva_Monument%2C_Krusevo.jpg
41.9188903,22.4069917,monument,Spomenik na slobodata,Kirili i Metodij 2300 Kochani North Macedonia,Kochani,https://mk.wikipedia.org/wiki/%D0%A1%D0%BF%D0%BE%D0%BC%D0%B5%D0%BD%D0%B8%D0%BA_%D0%BD%D0%B0_%D1%81%D0%BB%D0%BE%D0%B1%D0%BE%D0%B4%D0%B0%D1%82%D0%B0_%28%D0%9A%D0%BE%D1%87%D0%B0%D0%BD%D0%B8%29#/media/%D0%9F%D0%BE%D0%B4%D0%B0%D1%82%D0%BE%D1%82%D0%B5%D0%BA%D0%B0:Spomenik_kocani.JPG
42.2916094,22.3507979,monument,WWII Bitka - 17ta Makedonska brigada protiv bugarska armija,R2250 Dobrovnica North Macedonia,Dobrovnica,https://lh5.googleusercontent.com/p/AF1QipMYTdkLMIhkHeOdR859PlFnn860H7s8vAQweO45=w408-h544-k-no
